arm,game,idx,iteration,parents,depth,train_score,is_ship,on_ship_lineage,status,err_rate,split,code_chars,code_lines,sloc,ast_nodes,n_frames,n_unique_outputs,set_ratio,decoy_collapse,mean_raw_chars,mean_out_chars,dl_ratio,diversity_bytes,raw_gzip_bytes,norm_diversity,info_extraction_ratio,lzma_ratio,twopart_ratio,pf_dl_gz_ratio,code_gzip_bytes,out_vocab,n_transitions,static_rate,change_ratio
Plain,7www9,0,,,0,0.0,0,1,collapsed,0.0,test,1109,36,29,164,50,1,0.02,,2330.08,0.0,0.0,24,1226,0.01957585644371941,0.2852804003192737,0.0825242718446602,0.45921696574225124,0.0,539,0,50,1.0,0.0
Plain,7www9,0,,,0,0.0,0,1,collapsed,0.0,train,1109,36,29,164,56,1,0.017857142857142856,1.0,2330.1071428571427,0.0,0.0,24,1383,0.01735357917570499,0.28379251256450777,0.0735930735930736,0.40708604483007954,0.0,539,0,60,1.0,0.0
Plain,7www9,1,1,0,1,0.8425724637681159,0,0,ok,0.0,test,3046,91,68,394,50,50,1.0,,2330.08,36.16,0.015518780471056787,329,1226,0.26835236541598695,0.6283372986608231,0.44660194174757284,1.2471451876019577,0.5153621710202163,1200,71,50,0.02,1.0510204081632653
Plain,7www9,1,1,0,1,0.8425724637681159,0,0,ok,0.0,train,3046,91,68,394,56,56,1.0,0.0,2330.1071428571427,35.464285714285715,0.015220023604064806,355,1383,0.25668835864063627,0.6195601311522053,0.41125541125541126,1.1243673174258857,0.5035211589536017,1200,82,60,0.05,1.0526315789473684
Plain,7www9,2,2,0,1,0.4003623188405797,0,0,ok,0.0,test,3251,104,77,534,50,50,1.0,,2330.08,85.08,0.036513767767630295,420,1226,0.3425774877650897,1.2164774047527553,0.5388349514563107,1.4249592169657423,1.2131048559022586,1327,75,50,0.02,1.0
Plain,7www9,2,2,0,1,0.4003623188405797,0,0,ok,0.0,train,3251,104,77,534,56,56,1.0,0.0,2330.1071428571427,84.35714285714286,0.036203117575831896,441,1383,0.3188720173535792,1.2098576614046401,0.4935064935064935,1.2783803326102676,1.1973128732367042,1327,86,60,0.05,1.0
Plain,7www9,3,3,0,1,0.7518115942028986,0,1,ok,0.0,test,2236,66,48,369,50,50,1.0,,2330.08,50.24,0.021561491450937307,368,1226,0.300163132137031,0.840591870770358,0.470873786407767,1.1272430668841762,0.7162527471438862,1014,72,50,0.02,1.0
Plain,7www9,3,3,0,1,0.7518115942028986,0,1,ok,0.0,train,2236,66,48,369,56,56,1.0,0.0,2330.1071428571427,49.57142857142857,0.021274312953113744,393,1383,0.2841648590021692,0.8321684672510067,0.4329004329004329,1.017353579175705,0.7036758592486986,1014,83,60,0.05,1.0
Plain,7www9,4,4,3,2,0.8833333333333333,0,0,ok,0.0,test,2236,66,48,369,50,50,1.0,,2330.08,50.24,0.021561491450937307,368,1226,0.300163132137031,0.840591870770358,0.470873786407767,1.1272430668841762,0.7162527471438862,1014,72,50,0.02,1.0
Plain,7www9,4,4,3,2,0.8833333333333333,0,0,ok,0.0,train,2236,66,48,369,56,56,1.0,0.0,2330.1071428571427,49.57142857142857,0.021274312953113744,393,1383,0.2841648590021692,0.8321684672510067,0.4329004329004329,1.017353579175705,0.7036758592486986,1014,83,60,0.05,1.0
Plain,7www9,5,5,1,2,0.1428442028985507,0,0,ok,0.0,test,4170,132,106,675,50,50,1.0,,2330.08,282.0,0.12102588752317517,394,1226,0.32137030995106036,0.8226319443606098,0.47572815533980584,1.5946166394779773,4.022453644501759,1561,52,50,0.02,0.7551020408163265
Plain,7www9,5,5,1,2,0.1428442028985507,0,0,ok,0.0,train,4170,132,106,675,56,56,1.0,0.0,2330.1071428571427,282.0,0.12102447772174793,422,1383,0.3051337671728127,0.818386488813454,0.43722943722943725,1.4338394793926248,4.001474427159559,1561,58,60,0.05,0.7807017543859649
Plain,7www9,6,6,1,2,0.7755434782608696,0,0,ok,0.0,test,6079,165,131,1252,50,50,1.0,,2330.08,52.52,0.022539998626656597,408,1226,0.33278955954323003,0.7633699189254982,0.529126213592233,1.9608482871125612,0.7483411323512165,1996,81,50,0.02,1.3061224489795917
