game,split,baseline,first_idx,first_iteration,first_info,ship_info,relative_change
7www9,train,first_valid_incumbent,1,1,0.6195601311522053,0.9474568146165626,0.529241096993383
7www9,train,first_nonempty_k_incumbent,4,4,0.8321684672510067,0.9474568146165626,0.13853967303808146
7www9,train,incumbent_at_iteration_3,1,1,0.6195601311522053,0.9474568146165626,0.529241096993383
7www9,train,incumbent_at_iteration_10,4,4,0.8321684672510067,0.9474568146165626,0.13853967303808146
7www9,train,incumbent_at_iteration_20,14,20,0.9474568146165626,0.9474568146165626,0.0
7www9,test,first_valid_incumbent,1,1,0.6283372986608231,0.9569776727491741,0.5230317773412196
7www9,test,first_nonempty_k_incumbent,4,4,0.840591870770358,0.9569776727491741,0.1384569682694583
7www9,test,incumbent_at_iteration_3,1,1,0.6283372986608231,0.9569776727491741,0.5230317773412196
7www9,test,incumbent_at_iteration_10,4,4,0.840591870770358,0.9569776727491741,0.1384569682694583
7www9,test,incumbent_at_iteration_20,14,20,0.9569776727491741,0.9569776727491741,0.0
7xf97,train,first_valid_incumbent,1,1,1.2556742618316283,1.4831495661660588,0.18115789361057422
7xf97,train,first_nonempty_k_incumbent,7,8,1.2467010882274054,1.4831495661660588,0.18965931783603596
7xf97,train,incumbent_at_iteration_3,2,3,1.2467010882274054,1.4831495661660588,0.18965931783603596
7xf97,train,incumbent_at_iteration_10,7,8,1.2467010882274054,1.4831495661660588,0.18965931783603596
7xf97,train,incumbent_at_iteration_20,10,12,1.2467010882274054,1.4831495661660588,0.18965931783603596
7xf97,test,first_valid_incumbent,1,1,1.2649404464330176,1.4635345447632249,0.15699877325467693
7xf97,test,first_nonempty_k_incumbent,7,8,1.255440082685983,1.4635345447632249,0.16575419643447176
7xf97,test,incumbent_at_iteration_3,2,3,1.255440082685983,1.4635345447632249,0.16575419643447176
7xf97,test,incumbent_at_iteration_10,7,8,1.255440082685983,1.4635345447632249,0.16575419643447176
7xf97,test,incumbent_at_iteration_20,10,12,1.255440082685983,1.4635345447632249,0.16575419643447176
SET,train,first_valid_incumbent,1,1,2.4160654371368673,2.61858079817096,0.08382031294404069
SET,train,first_nonempty_k_incumbent,2,4,2.4160654371368673,2.61858079817096,0.08382031294404069
SET,train,incumbent_at_iteration_3,1,1,2.4160654371368673,2.61858079817096,0.08382031294404069
SET,train,incumbent_at_iteration_10,2,4,2.4160654371368673,2.61858079817096,0.08382031294404069
SET,train,incumbent_at_iteration_20,12,19,2.61858079817096,2.61858079817096,0.0
SET,test,first_valid_incumbent,1,1,2.316239726857479,2.511721170652024,0.08439603272833995
SET,test,first_nonempty_k_incumbent,2,4,2.316239726857479,2.511721170652024,0.08439603272833995
SET,test,incumbent_at_iteration_3,1,1,2.316239726857479,2.511721170652024,0.08439603272833995
SET,test,incumbent_at_iteration_10,2,4,2.316239726857479,2.511721170652024,0.08439603272833995
SET,test,incumbent_at_iteration_20,12,19,2.511721170652024,2.511721170652024,0.0
bt3gb,train,first_valid_incumbent,2,2,0.8537518036610764,1.2510821467029827,0.4653932692593632
bt3gb,train,first_nonempty_k_incumbent,4,4,0.9816945925280992,1.2510821467029827,0.2744107548572168
bt3gb,train,incumbent_at_iteration_3,2,2,0.8537518036610764,1.2510821467029827,0.4653932692593632
bt3gb,train,incumbent_at_iteration_10,6,8,0.9816945925280992,1.2510821467029827,0.2744107548572168
bt3gb,train,incumbent_at_iteration_20,10,17,0.8323447948714912,1.2510821467029827,0.5030816008120071
bt3gb,test,first_valid_incumbent,2,2,0.8680049525050604,1.277737081640619,0.4720389301386734
bt3gb,test,first_nonempty_k_incumbent,4,4,0.9936143758433882,1.277737081640619,0.2859486665096458
bt3gb,test,incumbent_at_iteration_3,2,2,0.8680049525050604,1.277737081640619,0.4720389301386734
bt3gb,test,incumbent_at_iteration_10,6,8,0.9936143758433882,1.277737081640619,0.2859486665096458
bt3gb,test,incumbent_at_iteration_20,10,17,0.8237743291045705,1.277737081640619,0.5510765952484813
colour_lines,train,first_valid_incumbent,1,1,1.0981763028850868,1.1120483498541336,0.012631894289289125
colour_lines,train,first_nonempty_k_incumbent,9,16,1.0981763028850868,1.1120483498541336,0.012631894289289125
colour_lines,train,incumbent_at_iteration_3,1,1,1.0981763028850868,1.1120483498541336,0.012631894289289125
colour_lines,train,incumbent_at_iteration_10,5,9,1.3151444790809328,1.1120483498541336,-0.1544287585564208
colour_lines,train,incumbent_at_iteration_20,12,19,1.1120483498541336,1.1120483498541336,0.0
colour_lines,test,first_valid_incumbent,1,1,1.1052548765056864,1.1213196076264882,0.014534865633518912
colour_lines,test,first_nonempty_k_incumbent,9,16,1.1052548765056864,1.1213196076264882,0.014534865633518912
colour_lines,test,incumbent_at_iteration_3,1,1,1.1052548765056864,1.1213196076264882,0.014534865633518912
colour_lines,test,incumbent_at_iteration_10,5,9,1.3227253282721831,1.1213196076264882,-0.15226571710755865
colour_lines,test,incumbent_at_iteration_20,12,19,1.1213196076264882,1.1213196076264882,0.0
diffusion,train,first_valid_incumbent,1,1,1.233411243321285,1.2371731944441133,0.0030500379684381684
diffusion,train,first_nonempty_k_incumbent,3,4,1.2081925622567689,1.2371731944441133,0.023986765928447618
diffusion,train,incumbent_at_iteration_3,2,3,1.2081925622567689,1.2371731944441133,0.023986765928447618
diffusion,train,incumbent_at_iteration_10,7,8,1.2081925622567689,1.2371731944441133,0.023986765928447618
diffusion,train,incumbent_at_iteration_20,7,8,1.2081925622567689,1.2371731944441133,0.023986765928447618
diffusion,test,first_valid_incumbent,1,1,1.1867259763559637,1.1629061004026424,-0.020071925977776295
diffusion,test,first_nonempty_k_incumbent,3,4,1.1497063060757797,1.1629061004026424,0.011481014113871257
diffusion,test,incumbent_at_iteration_3,2,3,1.1497063060757797,1.1629061004026424,0.011481014113871257
diffusion,test,incumbent_at_iteration_10,7,8,1.1497063060757797,1.1629061004026424,0.011481014113871257
diffusion,test,incumbent_at_iteration_20,7,8,1.1497063060757797,1.1629061004026424,0.011481014113871257
dino,train,first_valid_incumbent,1,1,0.6903218656837685,0.9096010764007242,0.31764778376208347
dino,train,first_nonempty_k_incumbent,4,4,0.8560774343908857,0.9096010764007242,0.06252196338748428
dino,train,incumbent_at_iteration_3,3,3,0.8560774343908857,0.9096010764007242,0.06252196338748428
dino,train,incumbent_at_iteration_10,8,9,0.9758764155890118,0.9096010764007242,-0.06791366010037825
dino,train,incumbent_at_iteration_20,16,19,1.16536998732088,0.9096010764007242,-0.21947442760917002
dino,test,first_valid_incumbent,1,1,0.6885173572963549,0.9074560574891578,0.31798573830080845
dino,test,first_nonempty_k_incumbent,4,4,0.8516045427274123,0.9074560574891578,0.06558386194473709
dino,test,incumbent_at_iteration_3,3,3,0.8516045427274123,0.9074560574891578,0.06558386194473709
dino,test,incumbent_at_iteration_10,8,9,0.9707034140114941,0.9074560574891578,-0.06515621106241143
dino,test,incumbent_at_iteration_20,16,19,1.1608220514024683,0.9074560574891578,-0.21826428401080233
dq8gc,train,first_valid_incumbent,1,2,0.6235491773843898,1.0449997778797877,0.6758899149915689
