game,name,split,n_ok,n_nonempty_k,n_unique_p,n_unique_p_nonempty_k,rho_all_ok,rho_nonempty_k,rho_unique_p_mean_score,rho_unique_p_nonempty_k_mean_score,within_k_centered_rank_corr,within_k_n_centered_points
7www9,Magnets,train,25,18,18,14,0.31634952117614545,0.3162270861420812,0.3531234337388525,0.5016504685758358,-0.31000000000000016,23
7www9,Magnets,test,25,18,18,14,0.32986048303235666,0.3162270861420812,0.3779040255801755,0.5016504685758358,-0.31000000000000016,23
7xf97,Grow,train,25,19,17,13,-0.38753999347874046,-0.0929110534325484,-0.44852941176470595,-0.1043956043956044,-0.14392103861627176,20
7xf97,Grow,test,25,19,17,13,-0.38908320898288673,-0.07177488961850896,-0.45833333333333337,-0.09890109890109891,-0.06451632765557008,20
SET,SET,train,25,21,20,17,0.10601416177440857,0.17046226355023988,0.23609022556390977,0.232843137254902,0.2,22
SET,SET,test,25,21,20,17,0.10601416177440857,0.17046226355023988,0.23609022556390977,0.232843137254902,0.2,22
bt3gb,Ice,train,26,23,19,17,0.7587410454152544,0.782179751358726,0.772268613177478,0.8137254901960784,0.8255033557046981,23
bt3gb,Ice,test,26,23,19,17,0.7875279685475405,0.8237639913043796,0.796840796324034,0.8480392156862745,0.8255033557046981,23
colour_lines,Colour Lines,train,27,17,21,12,-0.1766317696815922,0.2897331390302106,-0.1892685428893754,0.364914527027702,0.004282743616345225,24
colour_lines,Colour Lines,test,27,17,21,12,-0.17415706888044902,0.2897331390302106,-0.18536609870608928,0.364914527027702,0.03854469254710682,24
diffusion,Diffusion,train,28,16,21,11,-0.17981576197894572,-0.28962333339438034,-0.3741221885134461,-0.24256864502491862,0.25014783610789704,24
diffusion,Diffusion,test,28,16,21,11,-0.3056036755974994,-0.44268851477379373,-0.5424442979325008,-0.49886759071162506,0.2939237074267791,24
dino,Dino,train,28,23,22,18,0.6172236133358012,0.507709177439183,0.6141448859007351,0.5308148296971817,0.721837271981942,25
dino,Dino,test,28,23,22,18,0.6172236133358012,0.507709177439183,0.6141448859007351,0.5308148296971817,0.721837271981942,25
dq8gc,Disease,train,25,18,16,13,0.1255320294875748,0.12188901611147164,0.435935671595268,0.253444487872598,-0.2574383611739353,19
dq8gc,Disease,test,25,18,16,13,0.29548308479382995,0.27956672205992855,0.5419740781995225,0.3581280806895406,-0.2574383611739353,19
eahcw,Paint,train,23,15,17,12,0.3126804586356491,0.3728850363418381,0.4423974365848911,0.5608683687184035,0.09483893429101994,21
eahcw,Paint,test,23,15,17,12,0.09460077570186834,0.20635385506295897,0.2920562464362651,0.3633298237609784,-0.22761344229844754,21
egg,Egg,train,23,21,16,15,0.47770280524572656,0.3160658946593974,0.5680649072855761,0.4682754327420859,0.49915753941841756,18
egg,Egg,test,23,21,16,15,0.47770280524572656,0.3160658946593974,0.5680649072855761,0.4682754327420859,0.49915753941841756,18
f5w3n,Space Invaders,train,25,22,15,13,0.22764664385902295,0.010233287079401389,0.11438789196753243,-0.2916096293767866,-0.11009637651263604,20
f5w3n,Space Invaders,test,25,22,15,13,0.22764664385902295,0.010233287079401389,0.11438789196753243,-0.2916096293767866,-0.11009637651263604,20
logic_gates,Logic Gates,train,28,19,22,15,0.0935145266054164,0.014072168596917857,0.08248588887067819,-0.024999999999999998,0.06483810684699615,26
logic_gates,Logic Gates,test,28,19,22,15,0.0935145266054164,0.014072168596917857,0.08248588887067819,-0.024999999999999998,0.06483810684699615,26
n2ntd,Mario,train,26,20,20,18,0.03149069519804117,0.003763645605668302,0.04738623877793827,0.06917915222369332,0.20444646367874877,25
n2ntd,Mario,test,26,20,20,18,-0.028752373876472375,-0.02785097748194543,-0.02030838804768783,0.0340733137818191,0.2755582771322264,25
s2kt7,Ants,train,29,23,22,17,0.3784388731349953,0.23972337007117875,0.4511575381140599,0.3088235294117647,0.44888888888888884,26
s2kt7,Ants,test,29,23,22,17,0.37005104934973465,0.23972337007117875,0.4319593450028233,0.3088235294117647,0.4222222222222221,26
va6fq,Sand,train,25,20,20,18,0.3455186737128157,0.44787161570323303,0.38822029096287625,0.4340660792657062,0.5690341872230399,23
va6fq,Sand,test,25,20,20,18,0.3455186737128157,0.44787161570323303,0.38822029096287625,0.4340660792657062,0.5690341872230399,23
