game,split,previous,idx,iteration,delta_info,delta_score,p_same,k_same,component
7www9,train,1,4,4,0.21260833609880136,0.040760869565217406,0,0,world_knowledge
7www9,train,4,11,16,0.11528834736555593,0.005525362318840599,0,0,world_knowledge
7www9,train,11,14,20,0.0,0.06150362318840574,1,0,world_knowledge
7www9,test,1,4,4,0.2122545721095349,0.040760869565217406,0,0,world_knowledge
7www9,test,4,11,16,0.1163858019788161,0.005525362318840599,0,0,world_knowledge
7www9,test,11,14,20,0.0,0.06150362318840574,1,0,world_knowledge
7xf97,train,1,2,3,-0.008973173604222895,0.12661985815602836,0,1,perception
7xf97,train,2,7,8,0.0,0.09170567375886524,1,0,world_knowledge
7xf97,train,7,10,12,0.0,0.19940212765957444,1,0,world_knowledge
7xf97,train,10,23,27,0.2364484779386533,0.027203546099290765,0,1,perception
7xf97,test,1,2,3,-0.009500363747034557,0.12661985815602836,0,1,perception
7xf97,test,2,7,8,0.0,0.09170567375886524,1,0,world_knowledge
7xf97,test,7,10,12,0.0,0.19940212765957444,1,0,world_knowledge
7xf97,test,10,23,27,0.2080944620772418,0.027203546099290765,0,1,perception
SET,train,1,2,4,0.0,0.2194482917820868,1,0,world_knowledge
SET,train,2,12,19,0.20251536103409284,0.04278439519852256,0,0,perception
SET,test,1,2,4,0.0,0.2194482917820868,1,0,world_knowledge
SET,test,2,12,19,0.19548144379454513,0.04278439519852256,0,0,perception
bt3gb,train,2,4,4,0.12794278886702282,0.39475992907801416,0,0,world_knowledge
bt3gb,train,4,6,8,0.0,0.047729078014184356,1,0,world_knowledge
bt3gb,train,6,8,14,0.18468501057631392,0.019492907801418435,0,1,perception
bt3gb,train,8,10,17,-0.334034808232922,0.014979432624113498,0,0,perception
bt3gb,train,10,12,22,0.4187373518314915,0.10803085106382981,0,0,perception
bt3gb,test,2,4,4,0.1256094233383278,0.39475992907801416,0,0,world_knowledge
bt3gb,test,4,6,8,0.0,0.047729078014184356,1,0,world_knowledge
bt3gb,test,6,8,14,0.20392443872731758,0.019492907801418435,0,1,perception
bt3gb,test,8,10,17,-0.3737644854661353,0.014979432624113498,0,0,perception
bt3gb,test,10,12,22,0.45396275253604856,0.10803085106382981,0,0,perception
colour_lines,train,1,5,9,0.21696817619584596,1.8315018315007148e-05,0,1,perception
colour_lines,train,5,9,16,-0.21696817619584596,0.29685347985347993,0,0,world_knowledge
colour_lines,train,9,12,19,0.013872046969046758,0.0999450549450549,0,1,perception
colour_lines,test,1,5,9,0.2174704517664967,1.8315018315007148e-05,0,1,perception
colour_lines,test,5,9,16,-0.2174704517664967,0.29685347985347993,0,0,world_knowledge
colour_lines,test,9,12,19,0.016064731120801756,0.0999450549450549,0,1,perception
diffusion,train,1,2,3,-0.02521868106451608,0.046671122994652425,0,1,perception
diffusion,train,2,3,4,0.0,0.03324420677361853,1,0,world_knowledge
diffusion,train,3,7,8,0.0,0.13344474153297683,1,0,world_knowledge
diffusion,train,7,18,28,1.1826021692678867,0.09154411764705878,0,0,world_knowledge
diffusion,train,18,21,31,-1.2200162317111631,0.00832219251336902,0,0,perception
diffusion,train,21,24,34,-0.1508724927044529,0.016800356506238845,0,0,perception
diffusion,train,24,28,38,0.21726718733507377,0.053328877005347664,0,1,perception
diffusion,test,1,2,3,-0.037019670280183936,0.046671122994652425,0,1,perception
diffusion,test,2,3,4,0.0,0.03324420677361853,1,0,world_knowledge
diffusion,test,3,7,8,0.0,0.13344474153297683,1,0,world_knowledge
diffusion,test,7,18,28,1.0158208185451352,0.09154411764705878,0,0,world_knowledge
diffusion,test,18,21,31,-1.054518320624974,0.00832219251336902,0,0,perception
diffusion,test,21,24,34,-0.14113542142448554,0.016800356506238845,0,0,perception
diffusion,test,24,28,38,0.19303271783118703,0.053328877005347664,0,1,perception
dino,train,1,2,2,0.1479786440372418,0.04210526315789474,0,1,perception
dino,train,2,3,3,0.01777692466987535,0.21052631578947367,0,1,perception
dino,train,3,4,4,0.0,0.5236842105263158,1,0,world_knowledge
dino,train,4,8,9,0.11979898119812615,0.033333333333333326,0,1,perception
dino,train,8,16,19,0.1894935717318682,0.03421052631578947,0,1,perception
dino,train,16,18,25,-0.25576891092015586,0.00877192982456132,0,0,perception
dino,test,1,2,2,0.1500477626415606,0.04210526315789474,0,1,perception
dino,test,2,3,3,0.013039422789496768,0.21052631578947367,0,1,perception
dino,test,3,4,4,0.0,0.5236842105263158,1,0,world_knowledge
dino,test,4,8,9,0.11909887128408181,0.033333333333333326,0,1,perception
dino,test,8,16,19,0.19011863739097423,0.03421052631578947,0,1,perception
dino,test,16,18,25,-0.2533659939133105,0.00877192982456132,0,0,perception
dq8gc,train,1,2,3,0.08803247992358576,0.02830709219858163,0,1,perception
dq8gc,train,2,4,8,0.0,0.008379432624113337,1,0,world_knowledge
dq8gc,train,4,10,16,0.21058798628504827,0.12024078014184414,0,0,world_knowledge
dq8gc,train,10,29,40,0.12283013428676393,0.017229078014184274,0,0,world_knowledge
dq8gc,test,1,2,3,0.09249390827641579,0.02830709219858163,0,1,perception
dq8gc,test,2,4,8,0.0,0.008379432624113337,1,0,world_knowledge
dq8gc,test,4,10,16,0.23921380970657813,0.12024078014184414,0,0,world_knowledge
dq8gc,test,10,29,40,0.10874260147449422,0.017229078014184274,0,0,world_knowledge
eahcw,train,1,5,8,0.10138655222723458,0.1405382978723403,0,0,world_knowledge
eahcw,train,5,10,16,-0.11481818821543976,0.009447517730496457,0,0,world_knowledge
eahcw,train,10,14,20,0.3175550003377413,0.03083439716312064,0,0,world_knowledge
eahcw,train,14,28,37,0.07393690873117764,0.0069556737588651885,0,1,perception
eahcw,test,1,5,8,0.09827576330694654,0.1405382978723403,0,0,world_knowledge
eahcw,test,5,10,16,-0.1139669876467424,0.009447517730496457,0,0,world_knowledge
eahcw,test,10,14,20,0.3453003382311637,0.03083439716312064,0,0,world_knowledge
eahcw,test,14,28,37,0.07774891450065269,0.0069556737588651885,0,1,perception
egg,train,1,2,3,0.11411446012924342,0.03329787234042547,0,1,perception
