game,name,n_tasks,raw,lmwm,plain_lift_over_raw,agentic,n_agentic_tasks,agentic_lift_over_raw
7www9,Magnets,4,0.25,0.75,0.5,1.0,4,0.75
7xf97,Grow,5,0.2,0.4,0.2,0.4,5,0.2
SET,SET,3,0.6666666666666666,0.6666666666666666,0.0,1.0,3,0.33333333333333337
bt3gb,Ice,8,0.125,0.625,0.5,0.75,8,0.625
colour_lines,Colour Lines,3,0.0,1.0,1.0,1.0,3,1.0
diffusion,Diffusion,11,0.45454545454545453,0.7272727272727273,0.27272727272727276,0.8181818181818182,11,0.3636363636363637
dino,Dino,3,0.3333333333333333,1.0,0.6666666666666667,1.0,3,0.6666666666666667
dq8gc,Disease,7,0.2857142857142857,0.7142857142857143,0.4285714285714286,0.5714285714285714,7,0.2857142857142857
eahcw,Paint,4,0.25,0.5,0.25,0.5,4,0.25
egg,Egg,5,0.4,0.6,0.19999999999999996,0.8,5,0.4
f5w3n,Space Invaders,9,0.0,0.0,0.0,0.3333333333333333,9,0.3333333333333333
logic_gates,Logic Gates,4,1.0,1.0,0.0,1.0,4,0.0
n2ntd,Mario,7,0.2857142857142857,0.7142857142857143,0.4285714285714286,0.8571428571428571,7,0.5714285714285714
s2kt7,Ants,6,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.6666666666666666,6,0.5
va6fq,Sand,7,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,7,0.0
