game,control,n,rho
s2kt7,all_working,29,0.3784388731349953
s2kt7,nonempty_K,23,0.23972337007117875
colour_lines,all_working,27,-0.1766317696815922
colour_lines,nonempty_K,17,0.2897331390302106
diffusion,all_working,28,-0.17981576197894572
diffusion,nonempty_K,16,-0.28962333339438034
dino,all_working,28,0.6172236133358012
dino,nonempty_K,23,0.507709177439183
dq8gc,all_working,25,0.1255320294875748
dq8gc,nonempty_K,18,0.12188901611147164
egg,all_working,23,0.47770280524572656
egg,nonempty_K,21,0.3160658946593974
7xf97,all_working,25,-0.38753999347874046
7xf97,nonempty_K,19,-0.0929110534325484
bt3gb,all_working,26,0.7587410454152544
bt3gb,nonempty_K,23,0.782179751358726
logic_gates,all_working,28,0.0935145266054164
logic_gates,nonempty_K,19,0.014072168596917857
7www9,all_working,25,0.31634952117614545
7www9,nonempty_K,18,0.3162270861420812
n2ntd,all_working,26,0.03149069519804117
n2ntd,nonempty_K,20,0.003763645605668302
eahcw,all_working,23,0.3126804586356491
eahcw,nonempty_K,15,0.3728850363418381
SET,all_working,25,0.10601416177440857
SET,nonempty_K,21,0.17046226355023988
va6fq,all_working,25,0.3455186737128157
va6fq,nonempty_K,20,0.44787161570323303
f5w3n,all_working,25,0.22764664385902295
f5w3n,nonempty_K,22,0.010233287079401389
