game,trajectories,average_total_steps,click,left,right,up,down,reset,start_task,button_click,noop
masters_logic,60,820.533333,82.366667,4.233333,5.400000,4.216667,6.483333,1.433333,1.000000,1.000000,714.400000
SET,60,766.033333,71.400000,4.933333,4.516667,4.283333,3.983333,1.933333,1.000000,1.000000,672.983333
chomp,60,653.766667,46.666667,1.550000,1.916667,1.683333,1.950000,7.216667,1.000000,1.000000,590.783333
sand,60,602.900000,52.683333,4.333333,4.550000,3.750000,4.033333,2.083333,1.000000,1.000000,529.466667
gameOfLife,60,595.850000,59.766667,2.250000,3.683333,3.866667,3.766667,3.483333,1.000000,1.000000,517.033333
grow,60,595.350000,27.650000,23.433333,19.333333,4.166667,32.816667,1.400000,1.000000,1.000000,484.550000
waterplug,60,576.850000,57.616667,3.133333,3.500000,3.466667,3.483333,2.466667,1.000000,1.000000,501.183333
carrace,60,556.550000,13.950000,15.550000,17.100000,16.350000,10.300000,1.733333,1.000000,1.000000,479.566667
bbq,60,524.383333,54.383333,3.366667,4.333333,2.500000,3.250000,2.783333,1.000000,1.000000,451.766667
gravity,60,479.316667,34.383333,4.433333,3.866667,3.933333,3.916667,1.300000,1.000000,1.000000,425.483333
particles,60,467.833333,40.516667,11.633333,9.366667,13.766667,9.483333,2.183333,1.000000,1.000000,378.883333
ricochet_robots,60,466.683333,11.866667,9.450000,8.800000,8.766667,8.733333,1.133333,1.000000,1.000000,415.933333
ice,60,464.050000,11.683333,10.066667,12.233333,2.400000,28.616667,1.216667,1.000000,1.000000,395.833333
paint,60,461.683333,34.450000,7.216667,7.300000,5.800000,5.533333,2.250000,1.000000,1.000000,397.133333
lights_new,60,453.516667,33.450000,5.500000,4.700000,3.900000,4.516667,2.300000,1.000000,1.000000,397.150000
egg,60,437.483333,18.616667,12.133333,9.883333,24.616667,6.316667,2.616667,1.000000,1.000000,361.300000
lightning_rod,60,437.100000,24.283333,13.916667,15.000000,7.150000,9.233333,1.600000,1.000000,1.000000,363.916667
minesweeper,60,425.150000,45.166667,2.650000,4.066667,3.300000,3.450000,3.183333,1.000000,1.000000,361.333333
twiddle,60,408.383333,31.583333,2.083333,2.133333,2.000000,2.150000,2.250000,1.000000,1.000000,364.183333
mario,60,407.183333,9.000000,20.583333,22.083333,30.000000,3.033333,1.300000,1.000000,1.000000,319.183333
chinese_checkers,60,404.733333,39.700000,2.400000,3.033333,2.683333,2.583333,1.466667,1.000000,1.000000,350.866667
blicket,60,395.983333,29.683333,5.933333,6.500000,8.616667,9.300000,1.483333,1.000000,1.000000,332.466667
logic_gates,60,373.300000,24.383333,2.500000,2.566667,2.783333,2.533333,1.450000,1.000000,1.000000,335.083333
tictactoe,60,359.200000,36.183333,2.866667,3.566667,2.816667,2.516667,3.616667,1.000000,1.000000,305.633333
colour_lines,60,328.833333,20.683333,2.300000,2.816667,2.966667,3.233333,1.950000,1.000000,1.000000,292.883333
ants,60,324.716667,22.150000,3.400000,3.516667,2.166667,2.783333,1.600000,1.000000,1.000000,287.100000
space_invaders,60,324.333333,7.700000,15.616667,15.833333,14.216667,3.066667,1.566667,1.000000,1.000000,264.333333
snake,60,319.350000,5.916667,11.216667,10.200000,10.716667,10.450000,1.150000,1.000000,1.000000,267.700000
scotland_yard,60,317.416667,11.683333,5.666667,5.916667,6.800000,6.283333,1.266667,1.000000,1.000000,277.800000
block_breaker,60,314.966667,5.266667,25.500000,26.566667,3.033333,2.833333,1.166667,1.000000,1.000000,248.600000
nim,60,313.916667,26.033333,3.833333,4.000000,3.166667,3.866667,1.350000,1.000000,1.000000,269.666667
magnets,60,312.833333,7.066667,14.066667,17.916667,13.200000,13.550000,1.066667,1.000000,1.000000,243.966667
gravity_3,60,305.150000,15.566667,5.983333,5.500000,4.616667,6.016667,2.050000,1.000000,1.000000,263.416667
buoyancy,60,304.066667,25.983333,2.850000,3.116667,2.450000,3.000000,1.933333,1.000000,1.000000,262.733333
disease,60,293.983333,10.300000,9.166667,14.450000,6.500000,9.666667,1.300000,1.000000,1.000000,240.600000
kaleidoscope,60,284.116667,25.700000,1.500000,2.216667,1.416667,1.866667,1.816667,1.000000,1.000000,247.600000
wind,60,269.366667,12.866667,11.616667,13.350000,8.333333,8.100000,1.433333,1.000000,1.000000,211.666667
peg_solitaire,60,265.516667,19.716667,2.383333,4.200000,2.700000,2.416667,1.500000,1.000000,1.000000,230.600000
dino,60,256.733333,7.833333,2.866667,3.983333,14.316667,5.683333,2.516667,1.000000,1.000000,217.533333
diffusion,60,224.083333,23.433333,3.083333,4.616667,7.866667,4.283333,1.383333,1.000000,1.000000,177.416667
pacman,60,205.050000,9.366667,16.700000,15.083333,13.083333,12.666667,1.616667,1.000000,1.000000,134.533333
crystallization,60,184.816667,9.933333,5.833333,6.950000,2.683333,4.200000,1.516667,1.000000,1.000000,151.700000
exp_particles,60,97.683333,7.016667,6.016667,4.800000,5.333333,5.350000,2.066667,1.000000,1.000000,65.100000
